id,user_id,code_id,item_id,game_id,difficulty,win,created
103,-1,5,361,4,1,0,1742155453960
104,-1,5,378,4,1,0,1742155453960
105,2,5,234,4,1,0,1742155453960
106,4,5,8,4,2,1,1742155453960
107,4,5,5,4,2,0,1742155453960
108,4,5,271,4,2,0,1742155453960
109,4,5,364,4,2,1,1742155453960
110,4,5,120,4,2,1,1742155453960
111,2,5,284,1,1,1,1742155453960
112,2,5,250,1,1,1,1742155453960
113,2,5,282,1,1,1,1742155453960
114,2,5,347,1,1,1,1742155453960
117,4,5,4,4,2,0,1742155453960
118,4,5,371,4,2,0,1742155453960
119,4,5,212,4,2,0,1742155453960
120,4,5,236,4,2,1,1742155453960
121,4,5,9,4,2,0,1742155453960
122,4,5,219,4,2,0,1742155453960
123,4,5,33,4,2,0,1742155453960
125,4,5,159,4,2,0,1742155453960
126,4,5,172,4,3,1,1742155453960
127,4,5,380,4,3,1,1742155453960
128,4,5,371,4,3,0,1742155453960
129,4,5,108,4,3,0,1742155453960
130,4,5,309,4,3,0,1742155453960
131,4,5,147,4,3,0,1742155453960
132,4,5,309,3,3,0,1742155453960
133,4,5,335,3,3,0,1742155453960
135,2,5,416,4,1,1,1742155453960
136,2,5,211,4,1,1,1742155453960
137,2,5,289,4,1,1,1742155453960
138,2,5,360,4,1,0,1742155453960
139,2,5,150,4,1,0,1742155453960
140,2,5,353,4,1,0,1742155453960
141,2,5,166,4,1,0,1742155453960
142,2,5,276,4,1,0,1742155453960
143,2,5,142,4,1,0,1742155453960
144,2,5,140,4,1,0,1742155453960
145,2,5,308,4,1,1,1742155453960
146,2,5,381,4,1,0,1742155453960
147,2,5,214,4,1,1,1742155453960
148,2,5,304,4,1,1,1742155453960
149,2,5,155,4,1,1,1742155453960
151,4,5,378,3,3,0,1742155453960
152,4,5,310,3,2,0,1742155453960
153,4,5,260,2,3,0,1742155453960
154,4,5,82,2,3,0,1742155453960
155,4,5,46,2,3,0,1742155453960
157,4,5,31,4,3,1,1742155453960
158,4,5,139,4,3,0,1742155453960
159,2,5,397,4,1,1,1742155453960
160,2,5,55,4,1,1,1742155453960
161,4,5,196,4,3,1,1742155453960
162,4,5,385,4,3,1,1742155453960
163,4,5,213,4,3,1,1742155453960
164,4,5,277,4,3,0,1742155453960
165,4,5,53,4,3,1,1742155453960
166,4,5,397,4,3,0,1742155453960
167,2,5,29,1,2,0,1742155453960
168,2,5,381,1,2,0,1742155453960
169,2,5,126,1,2,0,1742155453960
170,2,5,53,1,2,0,1742155453960
171,2,5,115,1,2,0,1742155453960
173,2,5,223,1,2,0,1742155453960
174,2,5,1,1,2,0,1742155453960
175,2,5,80,1,2,0,1742155453960
176,2,5,108,1,2,0,1742155453960
177,2,5,121,1,2,0,1742155453960
178,2,5,213,4,1,0,1742155453960
179,2,5,75,4,1,0,1742155453960
180,2,5,4,4,1,0,1742155453960
181,-1,5,310,3,1,0,1742155453960
182,-1,5,9,2,1,0,1742155453960
183,-1,5,367,4,1,0,1742155453960
184,-1,5,185,4,1,0,1742155453960
187,1,5,122,2,2,0,1742155453960
